City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Faanui,PF,81.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
2,Rikitea,PF,77.86,few clouds,-23.1203,-134.9692,Pension Maro'i
3,Carauari,BR,79.99,light rain,-4.8828,-66.8958,Hotel Fellip
4,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
5,Saldanha,ZA,78.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
6,Taganak,PH,75.2,moderate rain,6.0833,118.3,Taganak
10,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,Chambres d'hôte La Trinité
15,Manavalakurichi,IN,80.6,mist,8.1333,77.3,Udaya Boys Hostel
16,Hithadhoo,MV,82.06,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Saint-Georges,GD,82.4,few clouds,12.0564,-61.7485,Siesta Hotel
31,Rawson,AR,75.31,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
35,Sao Joao De Pirabas,BR,77.0,light rain,-0.7747,-47.1772,POUSADA SOL E MAR
41,Cape Town,ZA,73.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
44,Nelson Bay,AU,70.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
46,Pimentel,PE,78.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
58,Pontal Do Parana,BR,78.8,scattered clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
60,Waingapu,ID,79.95,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
62,Nhulunbuy,AU,78.8,clear sky,-12.2333,136.7667,East Arnhem Real Estate
71,Hilo,US,82.4,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
72,Koumac,NC,80.13,light rain,-20.5667,164.2833,Le Monitel
74,Atuona,PF,77.52,scattered clouds,-9.8,-139.0333,Villa Enata
80,Caravelas,BR,79.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
83,Kanlagay,PH,79.93,overcast clouds,5.8757,121.2915,
84,Arantangi,IN,73.4,overcast clouds,10.1667,78.9833,Hotel Sami V Landmarks
86,Castro,BR,72.07,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
88,Pocone,BR,79.07,light rain,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
90,Yulara,AU,84.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
92,Banda Aceh,ID,77.68,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
95,Alofi,NU,80.6,light rain,-19.0595,-169.9187,Taloa Heights
