,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Barrow,US,71.2906,-156.7887,-5.8,77,1,16.11,clear sky
1,Faanui,PF,-16.4833,-151.75,81.52,75,94,14.65,light rain
2,Rikitea,PF,-23.1203,-134.9692,77.86,77,19,13.89,few clouds
3,Carauari,BR,-4.8828,-66.8958,79.99,88,96,0.13,light rain
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,69,0,23.02,clear sky
5,Saldanha,ZA,-33.0117,17.9442,78.8,57,0,3.44,clear sky
6,Taganak,PH,6.0833,118.3,75.2,100,40,7.74,moderate rain
7,Punta Arenas,CL,-53.15,-70.9167,55.4,67,90,19.57,light rain
8,Marshall,US,34.3834,-86.3333,41.0,81,1,4.61,clear sky
9,Kaitangata,NZ,-46.2817,169.8464,67.51,62,19,0.98,few clouds
10,Saint-Philippe,RE,-21.3585,55.7679,80.6,83,90,2.3,light rain
11,Norman Wells,CA,65.282,-126.8329,5.0,85,90,18.41,light snow
12,Atar,MR,20.5169,-13.0499,63.05,27,66,11.86,broken clouds
13,Kharan,PK,28.5833,65.4167,43.54,46,0,1.81,clear sky
14,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,20,3.44,few clouds
15,Manavalakurichi,IN,8.1333,77.3,80.6,89,75,14.36,mist
16,Hithadhoo,MV,-0.6,73.0833,82.06,75,100,21.32,overcast clouds
17,Jalu,LY,29.0331,21.5482,57.65,53,90,15.66,overcast clouds
18,Haines Junction,CA,60.7522,-137.5108,12.2,85,100,3.44,overcast clouds
19,Bethel,US,41.3712,-73.414,37.4,60,90,3.96,overcast clouds
20,Bluff,NZ,-46.6,168.3333,59.0,94,12,10.0,few clouds
21,Saint George,US,37.1041,-113.5841,55.0,23,1,1.25,clear sky
22,Narsaq,GL,60.9167,-46.05,30.2,80,90,4.61,light snow
23,Saskylakh,RU,71.9167,114.0833,-43.65,77,93,11.23,overcast clouds
24,Nalut,LY,30.3333,10.85,45.64,55,0,5.73,clear sky
25,Nikolskoye,RU,59.7035,30.7861,6.8,78,40,13.42,snow
26,New Norfolk,AU,-42.7826,147.0587,62.01,62,5,3.0,clear sky
27,Ribeira Grande,PT,38.5167,-28.7,60.8,88,40,9.22,scattered clouds
28,Kholtoson,RU,50.2981,103.3097,-16.31,80,66,1.3,broken clouds
29,Palmer,US,42.1584,-72.3287,37.4,52,90,6.91,overcast clouds
30,Saint-Georges,GD,12.0564,-61.7485,82.4,69,20,13.8,few clouds
31,Rawson,AR,-43.3002,-65.1023,75.31,30,58,25.3,broken clouds
32,Ostrovnoy,RU,68.0531,39.5131,3.83,93,75,22.3,broken clouds
33,Jamestown,US,42.097,-79.2353,36.0,80,1,10.85,clear sky
34,Englehart,CA,47.8169,-79.8664,32.0,93,90,5.75,light snow
35,Sao Joao De Pirabas,BR,-0.7747,-47.1772,77.0,91,100,7.29,light rain
36,Clyde River,CA,70.4692,-68.5914,-14.8,76,1,3.44,clear sky
37,Kodiak,US,57.79,-152.4072,32.0,93,20,10.2,few clouds
38,Tasiilaq,GL,65.6145,-37.6368,32.0,86,90,32.21,snow
39,La Ronge,CA,55.1001,-105.2842,24.8,80,100,4.61,overcast clouds
40,Mataura,NZ,-46.1927,168.8643,59.0,94,0,10.0,clear sky
41,Cape Town,ZA,-33.9258,18.4232,73.99,73,0,2.3,clear sky
42,Ucluelet,CA,48.9329,-125.5528,48.2,66,40,3.44,scattered clouds
43,Preeceville,CA,51.95,-102.6677,36.14,98,100,13.15,light rain
44,Nelson Bay,AU,-32.7167,152.15,70.0,88,0,5.75,clear sky
45,Evensk,RU,61.95,159.2333,-16.6,73,96,4.76,overcast clouds
46,Pimentel,PE,-6.8367,-79.9342,78.8,57,0,26.46,clear sky
47,Pevek,RU,69.7008,170.3133,-19.57,89,99,4.99,overcast clouds
48,Apostolove,UA,47.66,33.7137,26.6,86,90,6.71,overcast clouds
49,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,90,9.22,overcast clouds
50,Ponta Do Sol,PT,32.6667,-17.1,54.0,54,40,7.0,scattered clouds
51,Tiksi,RU,71.6872,128.8694,-33.43,81,42,1.77,scattered clouds
52,Albany,US,42.6001,-73.9662,36.0,65,98,3.15,overcast clouds
53,Date,JP,42.4681,140.8681,33.33,87,86,28.01,light snow
54,Matveyevka,RU,52.15,56.1833,-2.2,71,0,13.42,clear sky
55,Karasjok,NO,69.4719,25.5112,1.4,66,40,21.85,scattered clouds
56,Provideniya,RU,64.3833,-173.3,5.0,78,90,8.95,light snow
57,Teeli,RU,51.0333,90.2333,5.99,91,100,2.84,light snow
58,Pontal Do Parana,BR,-25.6533,-48.5128,78.8,73,40,13.8,scattered clouds
59,Zhangye,CN,38.9342,100.4517,23.09,70,100,9.33,overcast clouds
60,Waingapu,ID,-9.6567,120.2641,79.95,78,100,3.91,overcast clouds
61,Pangnirtung,CA,66.1451,-65.7125,-14.8,76,1,0.81,clear sky
62,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,0,1.79,clear sky
63,Jonesboro,US,35.8423,-90.7043,51.01,53,1,17.27,clear sky
64,Lavrentiya,RU,65.5833,-171.0,-5.42,86,99,4.9,overcast clouds
65,Chillan,CL,-36.6066,-72.1034,87.8,16,0,4.61,clear sky
66,Aklavik,CA,68.2191,-135.0107,-11.2,84,68,1.14,broken clouds
67,Nishihara,JP,26.1842,127.7558,59.0,54,75,6.91,broken clouds
68,Bend,US,44.0582,-121.3153,46.0,44,46,5.01,scattered clouds
69,Umm Kaddadah,SD,13.6017,26.6876,67.64,25,0,12.97,clear sky
70,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,68,0,11.5,clear sky
71,Hilo,US,19.7297,-155.09,82.4,54,40,5.75,scattered clouds
72,Koumac,NC,-20.5667,164.2833,80.13,83,100,4.38,light rain
73,Tornio,FI,65.8481,24.1466,-9.4,77,0,3.44,clear sky
74,Atuona,PF,-9.8,-139.0333,77.52,78,40,15.46,scattered clouds
75,Tongliao,CN,43.6125,122.2653,-7.91,81,28,3.56,scattered clouds
76,Ushuaia,AR,-54.8,-68.3,57.2,54,75,4.61,broken clouds
77,Thompson,CA,55.7435,-97.8558,28.4,100,90,3.44,light snow
78,Bilibino,RU,68.0546,166.4372,-19.08,82,100,6.49,overcast clouds
79,Yerbogachen,RU,61.2767,108.0108,-17.05,86,100,10.94,overcast clouds
80,Caravelas,BR,-17.7125,-39.2481,79.2,73,0,6.69,clear sky
81,Busselton,AU,-33.65,115.3333,55.99,73,95,3.0,overcast clouds
82,Sola,VU,-13.8833,167.55,86.0,79,75,10.6,broken clouds
83,Kanlagay,PH,5.8757,121.2915,79.93,81,100,3.27,overcast clouds
84,Arantangi,IN,10.1667,78.9833,73.4,93,92,11.43,overcast clouds
85,Chuy,UY,-33.6971,-53.4616,69.22,49,0,11.21,clear sky
86,Castro,BR,-24.7911,-50.0119,72.07,88,68,9.84,broken clouds
87,Calvia,ES,39.5657,2.5062,46.99,59,1,1.01,clear sky
88,Pocone,BR,-16.2567,-56.6228,79.07,78,97,6.73,light rain
89,Lebu,CL,-37.6167,-73.65,58.41,71,0,14.94,clear sky
90,Yulara,AU,-25.2406,130.9889,84.2,24,0,8.05,clear sky
91,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,100,75,7.31,broken clouds
92,Banda Aceh,ID,5.5577,95.3222,77.68,81,100,8.7,overcast clouds
93,Kenora,CA,49.8167,-94.4337,32.0,69,75,6.91,broken clouds
94,Cherskiy,RU,68.75,161.3,-13.95,89,100,3.56,overcast clouds
95,Alofi,NU,-19.0595,-169.9187,80.6,94,75,6.91,light rain
96,Ust-Kuyga,RU,70.0167,135.6,-41.06,77,44,2.3,scattered clouds
97,Trelew,AR,-43.249,-65.3051,79.61,22,80,26.04,broken clouds
98,Seymchan,RU,62.8833,152.4333,-35.99,79,88,4.36,overcast clouds
99,Brazzaville,CG,-4.2658,15.2832,80.6,74,100,4.61,moderate rain
100,Aksarka,RU,66.5606,67.7975,-0.98,87,91,12.71,overcast clouds
101,Havre,FR,49.5833,0.3333,48.2,93,90,16.11,overcast clouds
102,Harrisonville,US,38.6533,-94.3488,55.4,44,1,9.22,clear sky
103,Kahului,US,20.8947,-156.47,82.4,54,20,9.22,light rain
104,Vaini,TO,-21.2,-175.2,84.2,84,40,11.5,scattered clouds
105,Konstantinovka,RU,49.6167,127.9833,-17.12,86,41,4.12,light snow
106,Murgab,TM,37.4966,61.9714,35.6,87,0,4.61,clear sky
107,Poso,ID,-1.3959,120.7524,81.0,74,100,4.47,overcast clouds
108,Bambous Virieux,MU,-20.3428,57.7575,78.01,88,75,4.61,broken clouds
109,Maraa,BR,-1.8333,-65.3667,79.16,93,100,2.3,overcast clouds
110,Puerto Escondido,MX,15.85,-97.0667,84.2,74,40,8.05,scattered clouds
111,Marawi,PH,7.9986,124.2928,75.99,95,98,1.99,overcast clouds
112,Muros,ES,42.7762,-9.0603,45.0,89,4,2.59,clear sky
113,Qaanaaq,GL,77.484,-69.3632,-2.18,83,0,4.68,clear sky
114,Anacortes,US,48.5126,-122.6127,50.0,66,40,13.8,scattered clouds
115,Saint-Louis,SN,16.3333,-15.0,75.2,35,0,2.3,clear sky
116,Makarov,RU,48.6333,142.8,6.93,88,81,11.99,broken clouds
117,Kapaa,US,22.0752,-159.319,79.0,65,1,6.91,clear sky
118,Tarakan,ID,3.3,117.6333,77.0,94,75,4.61,broken clouds
119,Nauchnyy Gorodok,RU,53.4203,83.521,-14.8,70,40,6.71,scattered clouds
120,Neuquen,AR,-38.9516,-68.0591,93.2,26,40,10.36,scattered clouds
121,Cururupu,BR,-1.8283,-44.8683,77.22,83,100,3.89,light rain
122,Kavaratti,IN,10.5669,72.642,75.13,86,100,8.37,light rain
123,Khatanga,RU,71.9667,102.5,-27.8,84,100,12.53,overcast clouds
124,Magistralnyy,RU,56.1725,107.4458,-16.6,86,100,3.56,overcast clouds
125,Mangan,IN,27.5167,88.5333,54.12,47,48,2.21,scattered clouds
126,Zaporizhzhya,UA,47.8167,35.1833,24.8,93,75,8.95,broken clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,89.6,51,75,17.27,broken clouds
128,Airai,TL,-8.9266,125.4092,61.52,100,76,1.45,broken clouds
129,Jiuquan,CN,39.7432,98.5174,18.52,77,64,2.8,broken clouds
130,Aykhal,RU,66.0,111.5,-29.88,82,100,9.28,overcast clouds
131,Coahuayana,MX,18.7333,-103.6833,82.4,42,75,5.41,broken clouds
132,Alugan,PH,12.2188,125.4808,79.54,84,100,3.74,overcast clouds
133,Port Hedland,AU,-20.3167,118.5667,82.4,89,17,6.91,few clouds
134,Longyearbyen,SJ,78.2186,15.6401,15.8,73,75,11.5,broken clouds
135,Biloela,AU,-24.4167,150.5,74.34,65,0,11.48,clear sky
136,Sur,OM,22.5667,59.5289,64.8,56,0,3.27,clear sky
137,Costinesti,RO,43.95,28.6333,32.0,100,40,10.36,light snow
138,Nador,MA,35.174,-2.9287,46.4,81,0,3.06,clear sky
139,Turukhansk,RU,65.8167,87.9833,-11.33,89,100,10.45,overcast clouds
140,Flinders,AU,-34.5833,150.8552,73.99,86,99,1.01,overcast clouds
141,Hanzhong,CN,33.0728,107.0303,35.37,78,0,1.81,clear sky
142,Hobart,AU,-42.8794,147.3294,62.6,48,20,10.36,few clouds
143,Sioux Lookout,CA,50.1001,-91.917,28.4,86,90,4.61,overcast clouds
144,Sisimiut,GL,66.9395,-53.6735,19.13,96,100,9.84,light snow
145,Taltal,CL,-25.4,-70.4833,69.98,61,31,8.14,scattered clouds
146,Kindu,CD,-2.95,25.95,71.31,92,100,1.34,overcast clouds
147,Morlaix,FR,48.5833,-4.0,51.01,81,90,12.66,overcast clouds
148,North Bend,US,43.4065,-124.2243,55.4,71,1,3.44,clear sky
149,Velyka Lepetykha,UA,47.1757,33.9436,26.42,95,27,9.89,scattered clouds
150,La Orilla,MX,17.9833,-102.2333,83.25,48,25,9.4,scattered clouds
151,Cravo Norte,CO,6.3017,-70.2041,83.7,59,92,7.47,overcast clouds
152,Pag,HR,44.445,15.0575,32.0,55,0,3.44,clear sky
153,Olinda,BR,-8.0089,-34.8553,80.6,65,75,6.91,broken clouds
154,Kostomuksha,RU,64.571,30.5767,-15.0,89,61,4.18,broken clouds
155,Ilebo,CD,-4.3167,20.5833,71.73,93,100,1.74,light rain
156,Ilulissat,GL,69.2167,-51.1,24.8,86,75,12.66,broken clouds
157,Komsomolskiy,UZ,40.4272,71.7189,35.6,51,87,6.91,overcast clouds
158,Hambantota,LK,6.1241,81.1185,75.2,100,75,3.44,light rain
159,Sitka,US,57.0531,-135.33,35.6,93,90,6.91,light rain
160,Sangar,RU,63.9242,127.4739,-42.61,80,87,5.12,overcast clouds
161,Carnarvon,AU,-24.8667,113.6333,77.0,94,16,14.97,few clouds
162,Rio Tuba,PH,8.5061,117.4317,79.36,79,93,6.49,overcast clouds
163,Luau,AO,-10.7073,22.2247,65.34,97,100,3.44,overcast clouds
164,Hasaki,JP,35.7333,140.8333,28.4,93,20,3.44,few clouds
165,Berlevag,NO,70.8578,29.0864,17.6,67,75,24.16,light snow
166,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,91.0,51,100,4.0,overcast clouds
167,Victor Harbor,AU,-35.5667,138.6167,61.0,90,36,4.0,scattered clouds
168,Port Alfred,ZA,-33.5906,26.891,66.99,97,99,3.0,overcast clouds
169,Marzuq,YE,14.4,46.4667,54.63,41,0,2.1,clear sky
170,Lorengau,PG,-2.0226,147.2712,82.49,75,100,9.4,overcast clouds
171,Nome,US,64.5011,-165.4064,17.6,93,90,5.75,mist
172,Hermanus,ZA,-34.4187,19.2345,71.01,81,30,10.0,scattered clouds
173,Salalah,OM,17.0151,54.0924,75.2,23,0,10.36,clear sky
174,Edd,ER,13.9297,41.6925,75.29,51,0,14.67,clear sky
175,Pisco,PE,-13.7,-76.2167,75.2,69,0,23.02,clear sky
176,Teguise,ES,29.0605,-13.564,60.8,59,20,6.91,few clouds
177,Bredasdorp,ZA,-34.5322,20.0403,68.0,83,100,12.66,overcast clouds
178,Mackay,AU,-21.15,149.2,77.0,83,40,10.36,scattered clouds
179,Belaya Gora,RU,68.5333,146.4167,-37.93,81,100,3.36,overcast clouds
180,Puerto El Triunfo,SV,13.2833,-88.55,100.4,28,20,2.3,few clouds
181,Upernavik,GL,72.7868,-56.1549,10.35,96,100,17.65,overcast clouds
182,Manokwari,ID,-0.8667,134.0833,79.11,74,100,2.73,moderate rain
183,Dikson,RU,73.5069,80.5464,-27.94,85,0,7.02,clear sky
184,Geraldton,AU,-28.7667,114.6,68.0,64,0,9.22,clear sky
185,Tual,ID,-5.6667,132.75,84.45,74,100,13.22,light rain
186,Butaritari,KI,3.0707,172.7902,81.63,76,78,21.18,broken clouds
187,Ceanu Mare,RO,46.6667,23.95,23.0,86,75,11.5,broken clouds
188,Palu,ID,-0.8917,119.8707,76.28,81,100,2.42,light rain
189,Hofn,IS,64.2539,-15.2082,40.14,91,100,17.78,light rain
190,Xingyi,CN,24.1877,102.817,35.44,94,14,0.56,few clouds
191,Balkhash,KZ,46.844,74.9804,-7.78,85,0,9.35,clear sky
192,Avarua,CK,-21.2078,-159.775,86.0,70,40,19.57,scattered clouds
193,Datong,CN,40.0936,113.2914,19.53,75,75,3.78,broken clouds
194,Carutapera,BR,-1.195,-46.02,78.51,86,100,7.14,light rain
195,Cidreira,BR,-30.1811,-50.2056,72.43,68,30,13.33,scattered clouds
196,Nanortalik,GL,60.1432,-45.2371,29.91,94,100,15.39,light snow
197,Zlitan,LY,32.4674,14.5687,57.45,67,56,20.6,broken clouds
198,Sungaipenuh,ID,-2.0833,101.3833,63.77,89,100,3.98,light rain
199,Bodegraven,NL,52.0825,4.75,43.0,90,100,3.0,overcast clouds
200,Edmundston,CA,47.3737,-68.3251,30.99,69,90,4.61,light snow
201,Constitucion,CL,-35.3333,-72.4167,64.98,48,0,16.44,clear sky
202,Toamasina,MG,-18.1667,49.3833,77.0,94,40,3.44,scattered clouds
203,Hurricane,US,37.1753,-113.2899,55.0,23,1,3.53,clear sky
204,Jibuti,DJ,11.5,42.5,73.4,64,1,10.89,clear sky
