City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-01-11 19:42:19,-54.8,-68.3,44.6,70,75,9.22
1,Jamestown,US,2021-01-11 19:44:40,42.097,-79.2353,37.0,64,90,13.8
2,Sur,OM,2021-01-11 19:44:40,22.5667,59.5289,65.79,48,0,10.11
3,Souillac,MU,2021-01-11 19:44:40,-20.5167,57.5167,77.0,100,75,16.11
4,Punta Arenas,CL,2021-01-11 19:43:27,-53.15,-70.9167,48.2,61,75,27.63
5,Qaqortoq,GL,2021-01-11 19:44:41,60.7167,-46.0333,42.8,36,75,25.32
6,Calvinia,ZA,2021-01-11 19:44:41,-31.4707,19.776,76.1,32,3,6.06
7,Tasiilaq,GL,2021-01-11 19:44:41,65.6145,-37.6368,17.6,67,90,1.5
8,Dikson,RU,2021-01-11 19:44:41,73.5069,80.5464,2.73,95,100,4.52
9,Tonstad,NO,2021-01-11 19:44:41,58.6626,6.7169,36.0,95,5,3.0
10,Cesme,TR,2021-01-11 19:44:41,38.3228,26.3064,64.4,82,20,16.11
11,Clyde River,CA,2021-01-11 19:44:41,70.4692,-68.5914,5.0,85,90,14.97
12,Mahebourg,MU,2021-01-11 19:44:41,-20.4081,57.7,77.0,100,75,16.11
13,Umarkhed,IN,2021-01-11 19:44:41,19.6,77.7,70.2,47,71,0.78
14,Qaanaaq,GL,2021-01-11 19:44:42,77.484,-69.3632,0.99,74,0,6.51
15,Ramjibanpur,IN,2021-01-11 19:44:42,22.8333,87.6167,65.1,53,42,6.58
16,Port Hawkesbury,CA,2021-01-11 19:44:42,45.6169,-61.3485,30.0,69,1,9.22
17,East London,ZA,2021-01-11 19:44:42,-33.0153,27.9116,73.58,86,100,15.95
18,Ponta Delgada,PT,2021-01-11 19:44:42,37.7333,-25.6667,59.0,100,75,4.61
19,Hithadhoo,MV,2021-01-11 19:44:42,-0.6,73.0833,80.87,78,58,16.64
20,Balkanabat,TM,2021-01-11 19:44:42,39.5108,54.3671,43.34,76,0,6.31
21,Husavik,IS,2021-01-11 19:44:42,66.0449,-17.3389,14.0,85,0,4.61
22,Troitsko-Pechorsk,RU,2021-01-11 19:44:42,62.7084,56.1964,-13.56,85,24,3.24
23,Puerto Colombia,CO,2021-01-11 19:44:42,10.9878,-74.9547,89.6,62,20,14.97
24,Marsa Matruh,EG,2021-01-11 19:44:43,31.3525,27.2453,60.8,94,0,4.61
25,Kati,ML,2021-01-11 19:44:43,12.7441,-8.0726,78.8,27,0,3.44
26,Upernavik,GL,2021-01-11 19:44:43,72.7868,-56.1549,26.56,97,100,14.94
27,North Augusta,US,2021-01-11 19:44:43,33.5018,-81.9651,51.8,50,90,6.91
28,Malindi,KE,2021-01-11 19:44:43,-3.2175,40.1191,78.03,78,0,13.27
29,Hermanus,ZA,2021-01-11 19:44:43,-34.4187,19.2345,70.0,80,100,7.0
30,Sokoto,NG,2021-01-11 19:44:43,13.0609,5.239,77.45,17,0,9.33
31,Rokytnice Nad Jizerou,CZ,2021-01-11 19:44:43,50.7256,15.4336,28.0,93,82,1.01
